date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Zhuric Phelps,Texas A&M,Player Rebounds,Fliff,3.5,-135.0,-115.0
2025-03-23,Donovan Dent,New Mexico,Player Assists,Fliff,5.5,-130.0,-120.0
2025-03-23,Donovan Dent,New Mexico,Player Points,Fliff,21.5,-120.0,-125.0
2025-03-23,Donovan Dent,New Mexico,Player Rebounds,Fliff,2.5,-120.0,-130.0
2025-03-23,Jaden Akins,Michigan State,Player Assists,Fliff,1.5,150.0,-240.0
2025-03-23,Jaden Akins,Michigan State,Player Points,Fliff,12.5,-125.0,-125.0
2025-03-23,Jaden Akins,Michigan State,Player Rebounds,Fliff,3.5,-130.0,-120.0
2025-03-23,Jase Richardson,Michigan State,Player Assists,Fliff,1.5,-190.0,120.0
2025-03-23,Jase Richardson,Michigan State,Player Points,Fliff,16.5,-115.0,-135.0
2025-03-23,Jase Richardson,Michigan State,Player Rebounds,Fliff,4.5,115.0,-180.0
2025-03-23,Jaxon Kohler,Michigan State,Player Assists,Fliff,1.5,150.0,-240.0
2025-03-23,Jaxon Kohler,Michigan State,Player Points,Fliff,6.5,-125.0,-120.0
2025-03-23,Jaxon Kohler,Michigan State,Player Rebounds,Fliff,6.5,-160.0,100.0
2025-03-23,Jeremy Fears Jr.,Michigan State,Player Assists,Fliff,5.5,-140.0,-110.0
2025-03-23,Jeremy Fears Jr.,Michigan State,Player Points,Fliff,7.5,-155.0,100.0
2025-03-23,Jeremy Fears Jr.,Michigan State,Player Rebounds,Fliff,2.5,-130.0,-120.0
2025-03-23,Nelly Junior Joseph,New Mexico,Player Assists,Fliff,0.5,-260.0,160.0
2025-03-23,Nelly Junior Joseph,New Mexico,Player Points,Fliff,13.5,-135.0,-115.0
2025-03-23,Nelly Junior Joseph,New Mexico,Player Rebounds,Fliff,10.5,-125.0,-125.0
2025-03-23,Tre Holloman,Michigan State,Player Assists,Fliff,3.5,-160.0,100.0
2025-03-23,Tre Holloman,Michigan State,Player Points,Fliff,10.5,-145.0,-105.0
2025-03-23,Tre Holloman,Michigan State,Player Rebounds,Fliff,2.5,120.0,-190.0
2025-03-23,Tru Washington,New Mexico,Player Points,Fliff,10.5,-150.0,-105.0
2025-03-23,Tru Washington,New Mexico,Player Rebounds,Fliff,3.5,-185.0,115.0
2025-03-22,Aaron Scott,St. John's,Player Assists,Fliff,0.5,-200.0,125.0
2025-03-22,Aaron Scott,St. John's,Player Points,BetOnline,7.5,-125.0,-103.0
2025-03-22,Aaron Scott,St. John's,Player Points,Fliff,8.5,-110.0,-145.0
2025-03-22,Aaron Scott,St. John's,Player Rebounds,BetOnline,4.5,102.0,-133.0
2025-03-22,Aaron Scott,St. John's,Player Rebounds,Fliff,4.5,-105.0,-150.0
2025-03-22,D.J. Wagner,Arkansas,Player Assists,BetOnline,3.5,-129.0,100.0
2025-03-22,D.J. Wagner,Arkansas,Player Assists,Fliff,3.5,-140.0,-110.0
2025-03-22,D.J. Wagner,Arkansas,Player Points,BetOnline,10.5,-106.0,-121.0
2025-03-22,D.J. Wagner,Arkansas,Player Points,FanDuel,9.5,-122.0,-104.0
2025-03-22,D.J. Wagner,Arkansas,Player Points,Fliff,10.5,-115.0,-135.0
2025-03-22,D.J. Wagner,Arkansas,Player Rebounds,BetOnline,2.5,100.0,-129.0
2025-03-22,D.J. Wagner,Arkansas,Player Rebounds,Fliff,2.5,-105.0,-150.0
2025-03-22,Johnell Davis,Arkansas,Player Assists,BetOnline,1.5,124.0,-161.0
2025-03-22,Johnell Davis,Arkansas,Player Assists,Fliff,1.5,115.0,-185.0
2025-03-22,Johnell Davis,Arkansas,Player Points,BetOnline,12.5,-108.0,-119.0
2025-03-22,Johnell Davis,Arkansas,Player Points,FanDuel,12.5,-120.0,-108.0
2025-03-22,Johnell Davis,Arkansas,Player Points,Fliff,11.5,-135.0,-115.0
2025-03-22,Johnell Davis,Arkansas,Player Rebounds,BetOnline,2.5,-156.0,121.0
2025-03-22,Johnell Davis,Arkansas,Player Rebounds,Fliff,2.5,-170.0,110.0
2025-03-22,Jonas Aidoo,Arkansas,Player Assists,BetOnline,1.5,134.0,-175.0
2025-03-22,Jonas Aidoo,Arkansas,Player Assists,Fliff,1.5,125.0,-195.0
2025-03-22,Jonas Aidoo,Arkansas,Player Points,BetOnline,12.5,-105.0,-123.0
2025-03-22,Jonas Aidoo,Arkansas,Player Points,Fliff,12.5,-115.0,-135.0
2025-03-22,Jonas Aidoo,Arkansas,Player Rebounds,BetOnline,7.5,-140.0,108.0
2025-03-22,Jonas Aidoo,Arkansas,Player Rebounds,Fliff,7.5,-155.0,100.0
2025-03-22,Kadary Richmond,St. John's,Player Assists,BetOnline,5.5,-116.0,-111.0
2025-03-22,Kadary Richmond,St. John's,Player Assists,FanDuel,5.5,-128.0,100.0
2025-03-22,Kadary Richmond,St. John's,Player Assists,Fliff,5.5,-125.0,-125.0
2025-03-22,Kadary Richmond,St. John's,Player Points,BetOnline,14.5,-105.0,-123.0
2025-03-22,Kadary Richmond,St. John's,Player Points,FanDuel,14.5,-102.0,-125.0
2025-03-22,Kadary Richmond,St. John's,Player Points,Fliff,14.5,-120.0,-125.0
